Date,Cryptocurrency,Open,High,Low,Close,Adj Close,Volume,Symbol
2024-08-11,Uniswap,6.188395023345947,6.397074222564697,5.8898539543151855,5.9111328125,5.9111328125,70623872,UNI7083-USD
2014-01-02,Meli Dólar,106.72000122070312,107.37000274658205,103.06999969482422,103.41000366210938,101.7191390991211,769100,MELI
2014-01-03,Meli Dólar,104.04000091552734,104.93000030517578,102.95999908447266,103.93000030517578,102.23065185546876,317900,MELI
2014-01-06,Meli Dólar,105.18000030517578,105.18000030517578,101.02999877929688,101.48999786376952,99.83052825927734,632300,MELI
2014-01-07,Meli Dólar,100.5,101.26000213623048,97.0999984741211,99.11000061035156,97.48944854736328,1040300,MELI
2014-01-08,Meli Dólar,99.08999633789062,100.87999725341795,98.9800033569336,99.47000122070312,97.84356689453124,531600,MELI
2014-01-09,Meli Dólar,100.5500030517578,101.12999725341795,97.73999786376952,98.5199966430664,96.90908813476562,573100,MELI
2014-01-10,Meli Dólar,97.66999816894533,99.4000015258789,97.27999877929688,99.12999725341795,97.50911712646484,631500,MELI
2014-01-13,Meli Dólar,98.61000061035156,99.36000061035156,93.88999938964844,94.56999969482422,93.02367401123048,623200,MELI
2014-01-14,Meli Dólar,94.86000061035156,98.1500015258789,94.33999633789062,97.5,95.90577697753906,687300,MELI
2014-01-15,Meli Dólar,97.12999725341795,98.27999877929688,95.73999786376952,97.76000213623048,96.16151428222656,480300,MELI
2014-01-16,Meli Dólar,98.43000030517578,109.22000122070312,97.05999755859376,107.47000122070312,105.71277618408205,1698800,MELI
2014-01-17,Meli Dólar,107.5,108.83000183105467,104.2300033569336,104.9800033569336,103.2634735107422,774200,MELI
2014-01-21,Meli Dólar,105.98999786376952,107.4800033569336,103.37999725341795,105.05999755859376,103.34215545654295,507100,MELI
2014-01-22,Meli Dólar,105.05999755859376,108.0,103.31999969482422,106.3499984741211,104.611083984375,631900,MELI
2014-01-23,Meli Dólar,105.83000183105467,105.8499984741211,97.5,100.52999877929688,98.88623809814452,2005100,MELI
2014-01-24,Meli Dólar,97.5,98.0,94.56999969482422,95.0500030517578,93.49584197998048,1572000,MELI
2014-01-27,Meli Dólar,91.56999969482422,98.72000122070312,91.0,95.2699966430664,93.71223449707033,1873200,MELI
2014-01-28,Meli Dólar,95.16000366210938,99.3000030517578,94.81999969482422,97.87000274658205,96.26973724365234,1077400,MELI
2014-01-29,Meli Dólar,95.41999816894533,98.6500015258789,94.08000183105467,94.5199966430664,92.97449493408205,1361300,MELI
2014-01-30,Meli Dólar,95.31999969482422,97.63999938964844,94.66000366210938,96.9000015258789,95.31558990478516,1152400,MELI
2014-01-31,Meli Dólar,95.2300033569336,99.9800033569336,94.7699966430664,96.48999786376952,94.91226959228516,1005800,MELI
2014-02-03,Meli Dólar,95.87000274658205,96.4800033569336,91.70999908447266,92.08999633789062,90.584228515625,731100,MELI
2014-02-04,Meli Dólar,92.87999725341795,93.6500015258789,91.11000061035156,91.5,90.0038833618164,725900,MELI
2014-02-05,Meli Dólar,91.4499969482422,94.43000030517578,91.11000061035156,93.33000183105467,91.803955078125,1236100,MELI
2014-02-06,Meli Dólar,93.8499984741211,95.4800033569336,93.33999633789062,93.98999786376952,92.45315551757812,585500,MELI
2014-02-07,Meli Dólar,94.75,96.58999633789062,94.0500030517578,95.2699966430664,93.71223449707033,920800,MELI
2014-02-10,Meli Dólar,95.41999816894533,96.0,94.38999938964844,94.93000030517578,93.37779235839844,391900,MELI
2014-02-11,Meli Dólar,94.87000274658205,96.16999816894533,94.5999984741211,95.33000183105467,93.77124786376952,511200,MELI
2014-02-12,Meli Dólar,95.70999908447266,96.70999908447266,92.5,93.08999633789062,91.56787109375,449300,MELI
2014-02-13,Meli Dólar,92.13999938964844,96.5,92.01000213623048,95.97000122070312,94.40078735351562,506800,MELI
2014-02-14,Meli Dólar,95.25,97.58999633789062,94.2300033569336,95.30999755859376,93.7515640258789,562300,MELI
2014-02-18,Meli Dólar,95.1500015258789,96.72000122070312,93.29000091552734,93.5500030517578,92.0203628540039,758500,MELI
2014-02-19,Meli Dólar,93.95999908447266,94.54000091552734,91.86000061035156,92.66999816894533,91.15475463867188,776200,MELI
